"label","type","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","eissn","unique.id","article.number","orcid.numbers","researcherid.numbers","note","order_initial","order_alphabetical","order_random","color","selected","notes"
"X.ISI.000402541800018","article","Riley, Julia L. and Noble, Daniel W. A. and Byrne, Richard W. and Whiting, Martin J.","Early social environment influences the behaviour of a family-living lizard","ROYAL SOCIETY OPEN SCIENCE","2017","4","5",NA,"MAY","Early social environment can play a significant role in shaping behavioural development. For instance, in many social mammals and birds, isolation rearing results in individuals that are less exploratory, shyer, less social and more aggressive than individuals raised in groups. Moreover, dynamic aspects of social environments, such as the nature of relationships between individuals, can also impact the trajectory of development. We tested if being raised alone or socially affects behavioural development in the family-living tree skink, Egernia striolata. Juveniles were raised in two treatments: alone or in a pair. We assayed exploration, boldness, sociability and aggression repeatedly throughout each juvenile's first year of life, and also assessed social interactions between pairs to determine if juveniles formed dominant-subordinate relationships. We found that male and/or the larger skinks within social pairs were dominant. Developing within this social environment reduced skink growth, and subordinate skinks were more prone to tail loss. Thus, living with a conspecific was costly for E. striolata. The predicted negative effects of isolation failed to materialize. Nevertheless, there were significant differences in behavioural traits depending on the social environment ( isolated, dominant or subordinate member of a pair). Isolated skinks were more social than subordinate skinks. Subordinate skinks also became more aggressive over time, whereas isolated and dominant skinks showed invariable aggression. Dominant skinks became bolder over time, whereas isolated and subordinate skinks were relatively stable in their boldness. In summary, our study is evidence that isolation rearing does not consistently affect behaviour across all social taxa. Our study also demonstrates that the social environment plays an important role in behavioural development of a family-living lizard.","10.1098/rsos.161082","2054-5703",NA,"ISI:000402541800018","UNSP 161082","Noble, Daniel/0000-0001-9460-8743 Whiting, Martin/0000-0002-4662-0227 Riley, Julia/0000-0001-7691-6910","Noble, Daniel/H-6214-2013 Whiting, Martin/E-2999-2010 ",NA,150,193,55,"#000000",NA,""
"X.ISI.000402548900018","article","Rasmussen, Josh E. and Belk, Mark C.","Predation environment affects boldness temperament of neotropical livebearers","ECOLOGY AND EVOLUTION","2017","7","9","3059-3066","MAY","Behavioral traits of individuals are important phenotypes that potentially interact with many other traits, an understanding of which may illuminate the evolutionary forces affecting populations and species. Among the five axes of temperament is the propensity to behave boldly in the presence of a perceived risk. To determine the effect of different predatorial regimes on boldness and fearfulness, we assessed the behavior of individuals in a novel portable swim chamber (i.e., forced open-field test) by Brachyrhaphis rhabdophora (n = 633). We used an information theoretic framework to compare generalized (logistic) linear fixed-effects models of predatorial regime (predator-free {[}n = 6] and predator {[}n = 4] sites), sex, and standard length (SL). Fish from predator sites were much more fearful in the novel arena than fish from nonpredator sites. This varied by length, but not by sex. At 48 mm SL, fish from non-predator sites were 4.9 times more likely to express bold behavior (ambulation) in the novel swim chamber as fish from predator sites. Probabilities of ``ambulating{''} within the swim chamber increased with size for nonpredator sites and decreased with size for predator sites.","10.1002/ece3.2886","2045-7758",NA,"ISI:000402548900018",NA,NA,NA,NA,151,452,254,"#000000",NA,""
"X.ISI.000401942800001","article","Beekman, Madeleine and Jordan, L. Alex","Does the field of animal personality provide any new insights for behavioral ecology?","BEHAVIORAL ECOLOGY","2017","28","3","617-623","MAY-JUN","The field of animal personalities claims to fill a gap in our understanding of animal behavior, because it explicitly studies the adaptive significance of behavioral differences. This is a controversial claim given that the field of behavioral ecology firmly places the study of animal behavior in an evolutionary context. In fact, it is the evolutionary context that differentiates behavioral ecology from ethology and animal behavior, 2 fields that were already concerned with the study of behavior in nonhuman animals. So, if behavioral ecology already takes an evolutionary approach to variation in behavior, we ask what is personality research about exactly? This question is particularly pertinent now the focus of personality research shifts and the field moves away from being mainly descriptive to include quantitative frameworks. As a result, the field has come to borrow heavily from already established fields. In our view, this has resulted in ``animal personality{''} studies becoming nothing more than a rebranding of existing fields of research-fields that are far more solidly grounded and hypothesis driven than the often vague and superficial focus on animal personalities.","10.1093/beheco/arx022","1045-2249","1465-7279","ISI:000401942800001",NA,"Beekman, Madeleine/0000-0002-9040-3756","Beekman, Madeleine/A-3983-2011",NA,152,189,600,"#000000",NA,""
"X.ISI.000401942800013","article","Edwards, Hannah A. and Burke, Terry and Dugdale, Hannah L.","Repeatable and heritable behavioural variation in a wild cooperative breeder","BEHAVIORAL ECOLOGY","2017","28","3","668-676","MAY-JUN","Quantifying consistent differences in behaviour among individuals is vital to understanding the ecological and evolutionary significance of animal personality. To quantify personality, the phenotypic variation of a behavioural trait is partitioned to assess how it varies among individuals, which is also known as repeatability. If pedigree data are available, the phenotypic variation can then be further partitioned to estimate the additive genetic variance and heritability. Assessing the repeatability and heritability of personality traits therefore allows for a better understanding of what natural selection can act upon, enabling evolution. In a natural population of facultative cooperatively breeding Seychelles warbler (Acrocephalus sechellensis) on Cousin Island, a lack of breeding vacancies forces individuals into different life-history strategies, and these differences in reproductive state could generate behavioural differences among individuals in the population. We used this population to estimate the repeatability of 4 behavioural traits (novel environment exploration, novel object exploration, obstinacy/struggle rate, and escape response), and narrow-sense heritability (of behavior, h(B)(2); behavior minus observer variance; and personality), and evolvability, of the repeatable behavioural traits. We also tested for an among-individual correlation between the repeatable traits. We found that, compared to estimates in other study species, the exploratory behaviours were moderately repeatable (0.23-0.37), there was a positive among-individual correlation (0.51) between novel environment and novel object exploration, and that novel environment exploration was moderately heritable (0.17; h(B)(2) was low as it includes observer variance). This study further clarifies the additive genetic variance available for selection to act upon in this cooperatively breeding bird.","10.1093/beheco/arx013","1045-2249","1465-7279","ISI:000401942800013",NA,"Burke, Terry/0000-0003-3848-1244 Dugdale, Hannah/0000-0001-8769-0099","Burke, Terry/B-3196-2011 Dugdale, Hannah/C-7138-2008",NA,153,500,545,"#000000",NA,""
"X.ISI.000401942800037","article","Favati, Anna and Lovlie, Hanne and Leimar, Olof","Individual aggression, but not winner-loser effects, predicts social rank in male domestic fowl","BEHAVIORAL ECOLOGY","2017","28","3","874-882","MAY-JUN","Many factors can affect the probability for an individual to obtain a high social rank, including size, weaponry, and behavioral attributes such as aggression. Recent experiences of winning or losing can also affect the chances of winning future contests, commonly referred to as ``winner-loser effects{''}. Individuals often differ in behavior in a consistent way, including in aggression, thereby showing differences in personality. However, the relative importance of recent experience and aspects of personality in determining rank, as well as the extent to which winning or losing affects aggression, has rarely been studied. Here, we investigate these questions using male domestic fowl. We matched males for body size, comb size, and aggression in pair-wise duels to: 1) study the effect of contest outcome on aggression and 2) compare the effect of individual aggression and contest experience on future social status in small groups. We found that aggression was a highly repeatable personality trait and that aggression increased after winning and decreased after losing. Nevertheless, such winner-loser effects were not enough to increase the odds of becoming dominant in a small group. Instead, aggressiveness measured prior to a contest experience best predicted future rank. Boldness and exploration did not predict rank and of the 2, only boldness was positively correlated with aggressiveness. We conclude that for male domestic fowl in contests among phenotypically matched contestants, aggressiveness is more important for obtaining high rank than winner-loser effects, or other aspects of personality.","10.1093/beheco/arx053","1045-2249","1465-7279","ISI:000401942800037",NA,"Leimar, Olof/0000-0001-8621-6977","Leimar, Olof/L-3781-2014",NA,154,290,435,"#000000",NA,""
"X.ISI.000401085800007","article","Zampachova, Barbora and Kaftanova, Barbora and Simankova, Hana and Landova, Eva and Frynta, Daniel","Consistent Individual Differences in Standard Exploration Tasks in the Black Rat (Rattus rattus)","JOURNAL OF COMPARATIVE PSYCHOLOGY","2017","131","2","150-162","MAY","In a fluctuating environment, the optimal level of exploratory behavior depends on the proportion of current risks and benefits. The exploratory behavior is, therefore, often subjected to heterogenous selection. In populations of commensal rodents living in close proximity of humans, this pressure is further increased by pest management. We hypothesize that the black rat (Rattus rattus) responds to this pressure by either high behavioral flexibility or by development of personality types. The aim of this study was to analyze exploratory behavior and boldness of wild black rats and its changes over time to determine whether exploratory behavior is a personality trait in black rats. Studies on animals with unreduced variability are necessary for determination of normal range of behaviors. The behavior in the open field and hole board tests yielded 1 multivariate variable representing exploratory behavior and 1 representing boldness. The hole board test additionally provided an axis representing exploratory behavior. Exploratory behavior showed moderate to high repeatability, even though we observed a considerable effect of habituation. Exploratory behavior was also strongly correlated across contexts; therefore, our results suggest that the black rat responds to heterogenous selection pressure by developing personality types. We also found a strong effect of litter identity on some aspects of the exploratory behavior. Boldness was less repeatable, which we interpret as high behavioral flexibility in this behavioral trait. In concordance with our hypothesis, the personality types in exploratory behavior, but not in boldness, are possibly maintained by heterogenous selection pressure created by human pest management.","10.1037/com0000070","0735-7036","1939-2087","ISI:000401085800007",NA,"Frynta, Daniel/0000-0002-1375-7972 Landova, Eva/0000-0001-8365-8710 Zampachova, Barbora/0000-0002-6285-0495","Frynta, Daniel/L-7350-2016 Landova, Eva/R-8759-2017 Zampachova, Barbora/R-9320-2017",NA,155,132,388,"#000000",NA,""
"X.ISI.000399361500004","article","Zsolt Garamszegi, Laszlo and Pape Moller, Anders","Partitioning within-species variance in behaviour to within- and between-population components for understanding evolution","ECOLOGY LETTERS","2017","20","5","599-608","MAY","Phenotypes vary at multiple hierarchical levels, of which the interspecific variance is the primary focus of phylogenetic comparative studies. However, the evolutionary role of particular within-species variance components (between-population, between-or within-individual variances) remains neglected. Here, we partition the variance in an anti-predator behaviour, flight initiation distance (FID), and assess how its within-and between-population variance are related to life history, distribution, dispersal and habitat ecology. Although the composition of within-species variance in FID depended on the phylogeny, most variance occurred within populations. When accounting for allometry, density-dependence, uncertainty in the phylogenetic hypothesis and heterogeneity in data quality, within-population variance was significantly associated with habitat diversity and population size. Between-population variance was a significant predictor of natal dispersal, senescence and habitat diversity. Accordingly, not only species-specific mean values of a behavioural trait, but also its variance within and among populations can shape the evolutionary ecology of species.","10.1111/ele.12758","1461-023X","1461-0248","ISI:000399361500004",NA,"CSIC, EBD Donana/0000-0003-4318-6602 Garamszegi, Laszlo/0000-0001-8920-2183 Moller, Anders/0000-0003-3739-4675","CSIC, EBD Donana/C-4157-2011 Garamszegi, Laszlo/M-1488-2015 Moller, Anders/O-6665-2016",NA,156,389,152,"#000000",NA,""
"X.ISI.000397696100014","article","Roedel, Heiko G. and Bautista, Amando and Roder, Manuel and Gilbert, Caroline and Hudson, Robyn","Early development and the emergence of individual differences in behavior among littermates of wild rabbit pups","PHYSIOLOGY \& BEHAVIOR","2017","173",NA,"101-109","MAY 1","The ontogeny of associated individual differences in behavior and physiology during early postnatal life, and in particular the emergence of such differences among litter siblings, has been hardly explored in mammals under natural conditions. We studied such within-litter differences in behavior in European rabbit pups Oryctolagus cuniculus prior to weaning, and whether and how these differences co-varied with other individual characteristics such as postnatal body temperature and early growth. The study was conducted under semi natural conditions in a colony of rabbits of wild origin, where the young were born and developed in nursery burrows. We equipped two siblings per litter with interscapular skin temperature loggers on postnatal day 2 and recorded temperature profiles for 48 h. Individual body (skin) temperatures of pups within litters were repeatable across time, indicating the existence of consistent individual differences. Such differences within litters were associated with relative differences in pre-weaning growth, revealing that relatively warmer pups showed a greater increase in body mass during the nest period. Between postnatal days 12 and 17, after the pups had reached a developmental stage of greater mobility, we carried out different behavioral tests: a handling-restraint test, an open field test and a jump-down test from a platform. Individual responses in the former two tests were associated, as those pups showing a quicker straggling response to restraint during handling also exhibited greater exploratory activity in the open field. This correlation across contexts suggests the existence of personality types in wild rabbits at an early developmental stage. Furthermore, pups' behavioral responses were strongly associated with their relative Within-litter body mass at testing. Animals with a lower body mass compared to their siblings showed a relatively quicker struggle response to handling restraint and covered a relatively larger distance in the open field, suggesting greater reactivity and responsiveness of relatively lighter pups in these tests. In contrast, relatively heavier pups jumped sooner from the platform, which may have been due to their greater physical maturation. In conclusion, our study shows that individual differences in behavior and associated differences in body temperature and growth are already present during early postnatal life, although such relationships can be easily overlooked, as they predominantly emerge as relative differences among littermates. (C) 2017 Elsevier Inc. All rights reserved.","10.1016/j.physbeh.2017.01.044","0031-9384",NA,"ISI:000397696100014",NA,"Rodel, Heiko/0000-0003-0228-2884 Hudson, Robyn/0000-0002-5526-9555",NA,NA,157,191,238,"#000000",NA,""
"X.ISI.000396043800008","article","Ochi, Haruki and Awata, Satoshi and Hata, Hiroki and Kohda, Masanori","A Tanganyikan cichlid Neolamprologus mustax selectively exploits territories of another cichlid Variabilichromis moorii due to its inter-individual variation in aggression","HYDROBIOLOGIA","2017","791","1","103-114","MAY","Animals in a population consistently differ from one another in behavioural types over time and this difference can affect intra- and interspecific relationships. However, empirical studies about roles of behavioural individual variation in interspecific interactions are scarce. Here, we provide evidence that inter-individual variation of a cichlid in aggression affects access to its territory by a heterospecific cichlid. In Lake Tanganyika, a zoobenthivorous cichlid Neolamprologus mustax (Nm) is admitted into territories of an algivorous Variabilichromis moorii (Vm) to prey on benthic invertebrates, while other zoobenthivorous fishes are chased from the territories. We conducted an experiment in which caged Nm fish were exposed twice to each Vm fish in natural habitats. Results indicated repeatable individual variations in Vm aggression towards Nm. Moreover, diving observations indicated that Nm fish frequently used some of Vm territories inside their own territories, but rarely or never used others. This uneven use of Vm territories by the Nm fish was negatively correlated with individual variations in Vm aggression. We conclude that the preferential access of Nm to Vm territory is gained by Nm's recognising more tolerant Vm fish or discriminating among sites for their territories.","10.1007/s10750-016-2822-7","0018-8158","1573-5117","ISI:000396043800008",NA,"Hata, Hiroki/0000-0001-9438-0646",NA,NA,158,6,232,"#000000",NA,""
"X.ISI.000404164800007","article","Iserbyt, Arne and Eens, Marcel and Baetens, Wendy and Vermeulen, Anke and Mueller, Wendt","Within- and between-individual (co) variance partitioning reveals limited pleiotropic effects of testosterone on immune function, sexual signaling, and parental investment","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","2017","71","4",NA,"APR","How and why individuals differ from each other is a central question in behavioral and evolutionary ecology, because selection particularly acts on this among-individual variation. It is therefore important to accurately partition phenotypic variances into their within- and between-individual components. Partitioning covariances into both components can also inform about underlying mechanistic pathways that potentially interlink trait expression. In the current study, we applied such a (co) variance partitioning approach to test key predictions of two central hypotheses in behavioral ecology, namely the immunocompetence handicap hypothesis and the challenge hypothesis. To this end, we assessed potential pleiotropic effects of testosterone on male sexual signaling, immune function, and parental care. We here repeatedly measured a set of relevant traits in 47 breeding pairs of captive canaries (Serinus canaria). We found that a within-individual increase in female testosterone level suppressed immune function. Furthermore, testosterone levels were positively related to male song repertoire size as an important component of sexual signaling at the between-male level. These were, however, the only relevant significant correlations. Overall, our data do therefore not convincingly support the hypotheses tested and suggest rather limited hormonal pleiotropic effects of testosterone on immune function, parental care, and male sexual signaling, at least in our study system. Significance statement Phenotypic variances and covariances can nowadays be partitioned easily into within- and between-individual components. These components inform about trait repeatability and the extent to which multiple traits form phenotypic suites of traits, as well as about their joint underlying mechanistic pathways. Testosterone for example, may be key to mediate the expression of suites of traits in many vertebrate species. We here used captive canaries and repeatedly measured male and female traits, relevant in the context of endocrinology, sexual signaling, immune function, and parental investment. For both sexes, we report particularly weak correlations between testosterone and all other measured traits at both within-and between-individual levels. Our case study thus questions the pleiotropic effects of testosterone, but exemplifies the applicability and relevance of (co)variance partitioning in behavioral ecological research.","10.1007/s00265-017-2308-2","0340-5443","1432-0762","ISI:000404164800007","UNSP 74",NA,NA,NA,159,656,62,"#000000",NA,""
"X.ISI.000400402700002","article","Menz, Clementine S. and Goldizen, Anne W. and Blomberg, Simon P. and Freeman, Natalie J. and Best, Emily C.","Understanding repeatability and plasticity in multiple dimensions of the sociability of wild female kangaroos","ANIMAL BEHAVIOUR","2017","126",NA,"3-16","APR","Sociability, how individuals interact with conspecifics, is considered to be a key axis of animal personality. Consistent differences between individuals in measures of sociability have been demonstrated in some taxa, yet individuals also exhibit plasticity in their sociability across differing ecological conditions, particularly in gregarious species that do not occur in stable cohesive groups. Although repeatability and plasticity of measures of sociability are both important for understanding animal personality they have rarely been studied concurrently. Between and even within species, multiple behaviours have been considered to represent sociability, but there is still little understanding of the degree to which different measures of sociability reflect distinct traits. In this study, our first aim was to determine the repeatability of four different measures, representing two broad aspects of individual females' sociability, in a wild population of eastern grey kangaroos, Macropus giganteus. Our second aim was to investigate how shorter-term environmental conditions and individuals' states related to plasticity in these measures. Using data collected each month over a 5-year period on over 100 adult females, we analysed factors contributing to variation in individuals' grouping patterns (to reflect general gregariousness) and in the number of different conspecifics with which individuals associated (their `choosiness' of social partners). Rainfall, body condition and reproductive state were all related to females' mean group sizes, and females with older dependent young foraged further from their neighbours. Females were more selective about group members when there was more food, and when they were in poor or excellent body condition. Although social preferences exist among females in this population, and females' measures of sociability are repeatable and differ between individuals over the long term, these current findings suggest that the influences of individuals' states and environmental conditions contribute to variation in females' patterns of sociability over shorter periods. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","10.1016/j.anbehav.2017.01.012","0003-3472","1095-8282","ISI:000400402700002",NA,"Blomberg, Simon/0000-0003-1062-0839","Blomberg, Simon/B-7613-2008",NA,160,635,216,"#000000",NA,""
"X.ISI.000400402700014","article","Monestier, Chloe and Morellet, Nicolas and Verheyden, Helene and Gaillard, Jean-Michel and Bideau, Eric and Denailhac, Anais and Lourtet, Bruno and Cebe, Nicolas and Picot, Denis and Rames, Jean-Luc and Hewison, A. J. Mark","Neophobia is linked to behavioural and haematological indicators of stress in captive roe deer","ANIMAL BEHAVIOUR","2017","126",NA,"135-143","APR","Neophobia is an important personality trait that allows animals to minimize exposure to threat. We investigated the existence of consistent individual differences in the level of neophobia in captive roe deer, Capreolus capreolus, using an experimental set-up. Our main objective was to explore the link between an individual's level of neophobia with behavioural and physiological responses measured during a stressful situation, i.e. capture and restraint, to facilitate characterization of neophobia in the wild. We found that the probability of initiating a feeding bout and the feeding efficiency over bouts both decreased in the presence of a novel object. However, there was pronounced variation in the degree to which individuals were affected by the experimental treatment. First, feeding efficiency decreased the most among individuals that reacted less markedly to an acutely stressful situation (capture). Second, latency between the first visit and the first feeding bout increased the most among individuals that had a higher concentration of fructosamine in their blood, an indicator of chronic stress. Our results indicate that individuals that are more neophobic (high latency to first feeding bout and low feeding efficiency in the presence of a novel object) are also less proactive (low behavioural response to capture, high levels of fructosamine), suggesting the existence of a behavioural syndrome. We conclude that behavioural and physiological parameters measured during capture provide reliable indicators of neophobia for roe deer, providing an exciting new avenue for the study of animal personality in the wild. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","10.1016/j.anbehav.2017.01.019","0003-3472","1095-8282","ISI:000400402700014",NA,NA,NA,NA,161,372,520,"#000000",NA,""
"X.ISI.000398685600007","article","Ballew, Nicholas G. and Mittelbach, Gary G. and Scribner, Kim T.","Fitness Consequences of Boldness in Juvenile and Adult Largemouth Bass","AMERICAN NATURALIST","2017","189","4","396-406","APR","To date, most studies investigating the relationship between personality traits and fitness have focused on a single measure of fitness (such as survival) at a specific life stage. However, many personality traits likely have multiple effects on fitness, potentially operating across different functional contexts and stages of development. Here, we address the fitness consequences of boldness, under seminatural conditions, across life stages and functional contexts in largemouth bass (Micropterus salmoides). Specifically, we report the effect of boldness on (1) juvenile survivorship in an outdoor pond containing natural prey and predators and (2) adult reproductive success in three outdoor ponds across three reproductive seasons (years). Juvenile survival was negatively affected by boldness, with bolder juveniles having a lower probability of survival than shyer juveniles. In contrast, bolder adult male bass had greater reproductive success than their shyer male counterparts. Female reproductive success was not affected by boldness. These findings demonstrate that boldness can affect fitness differently across life stages. Further, boldness was highly consistent across years and significantly heritable, which suggests that boldness has a genetic component. Thus, our results support theory suggesting that fitness trade-offs across life stages may contribute to the maintenance of personality variation within populations.","10.1086/690909","0003-0147","1537-5323","ISI:000398685600007",NA,NA,"Mittelbach, Gary/A-2470-2013",NA,162,240,99,"#000000",NA,""
"X.ISI.000397395600002","article","Schuster, Andrea C. and Carl, Teresa and Foerster, Katharina","Repeatability and consistency of individual behaviour in juvenile and adult Eurasian harvest mice","SCIENCE OF NATURE","2017","104","3-4",NA,"APR","Knowledge on animal personality has provided new insights into evolutionary biology and animal ecology, as behavioural types have been shown to affect fitness. Animal personality is characterized by repeatable and consistent between-individual behavioural differences throughout time and across different situations. Behavioural repeatability within life history stages and consistency between life history stages should be checked for the independence of sex and age, as recent data have shown that males and females in some species may differ in the repeatability of behavioural traits, as well as in their consistency. We measured the repeatability and consistency of three behavioural and one cognitive traits in juvenile and adult Eurasian harvest mice (Micromys minutus). We found that exploration, activity and boldness were repeatable in juveniles and adults. Spatial recognition measured in a Y Maze was only repeatable in adult mice. Exploration, activity and boldness were consistent before and after maturation, as well as before and after first sexual contact. Data on spatial recognition provided little evidence for consistency. Further, we found some evidence for a litter effect on behaviours by comparing different linear mixed models. We concluded that harvest mice express animal personality traits as behaviours were repeatable across sexes and consistent across life history stages. The tested cognitive trait showed low repeatability and was less consistent across life history stages. Given the rising interest in individual variation in cognitive performance, and in its relationship to animal personality, we suggest that it is important to gather more data on the repeatability and consistency of cognitive traits.","10.1007/s00114-017-1430-3","0028-1042","1432-1904","ISI:000397395600002","10",NA,NA,NA,163,480,122,"#000000",NA,""
"X.ISI.000397320000001","article","Schuster, Andrea C. and Zimmermann, Uwe and Hauer, Carina and Foerster, Katharina","A behavioural syndrome, but less evidence for a relationship with cognitive traits in a spatial orientation context","FRONTIERS IN ZOOLOGY","2017","14",NA,NA,"MAR 24","Background: Animals show consistent individual behavioural differences in many species. Further, behavioural traits (personality traits) form behavioural syndromes, characterised by correlations between different behaviours. Mechanisms maintaining these correlations could be constrained due to underlying relationships with cognitive traits. There is growing evidence for the non-independence of animal personality and general cognitive abilities in animals, but so far, studies on the direction of the relationship between them revealed contradictory results. Still, it is hypothesised that individuals may exhibit consistent learning and decision styles. Fast behavioural types (consistently bolder and more active individuals) are expected to show faster learning styles. Slow behavioural types in contrast are assumed to learn slower but more accurately. This can be caused by a speed-accuracy trade-off that individuals face during decision making. We measured the repeatability of three personality and four spatial cognitive traits in adult Eurasian harvest mice (Micromys minutus). We analysed correlations among personality traits (behavioural syndrome). We further investigated the relationships between personality and spatial cognitive traits as a first step exploring the potential connection between personality and cognition in this species. Results: Our results showed that exploration, activity and boldness were repeatable in adult mice. Spatial recognition measured in a Y Maze was also significantly repeatable, as well as spatial learning performance and decision speed. We found no repeatability of decision accuracy. Harvest mice showed a behavioural syndrome as we observed strong positive correlations between personality traits. The speed-accuracy trade-off was not apparent within, nor between individuals. Nevertheless, we found weak evidence for a relationship between personality and spatial cognitive traits as fast behavioural types learned a spatial orientation task faster than slow types, and shyer harvest mice made decisions quicker than bolder mice. Conclusions: Given these correlations, our data provided some first insights into the relationship between personality and spatial cognitive traits in harvest mice and will hopefully stimulate more studies in this field.","10.1186/s12983-017-0204-2","1742-9994",NA,"ISI:000397320000001","19",NA,NA,NA,164,9,476,"#000000",NA,""
"X.ISI.000396318300106","article","Monk, Christopher Thomas and Arlinghaus, Robert","Encountering a bait is necessary but insufficient to explain individual variability in vulnerability to angling in two freshwater benthivorous fish in the wild","PLOS ONE","2017","12","3",NA,"MAR 16","Fish personality traits, such as swimming activity, or personality related emergent behavioural properties, such as the degree of space use shown by an individual fish, should affect encounter rates between individual fish and fishing gear. Increased encounters should in turn drive vulnerability to capture by passively operated gears. However, empirical evidence documenting a relationship between activity-based behaviours and vulnerability to capture by passive fishing gear in the wild is limited. Using whole-lake acoustic telemetry, we first documented significant repeatabilities over several months in a suite of encounter rate-associated behaviours (swimming distance, activity space size, time on baited feeding sites, switching frequency among baited feeding sites, distance to the lake bottom) in two recreationally important benthivorous cyprinid species, the common carp (Cyprinus carpio) and tench (Tinca tinca). We then experimentally targeted both species using stationary angling on baited feeding sites. Individual fish regularly visited the angling sites, documenting that the fishes encountered the angling baits. When attempting to explain individual variation in vulnerability as a function of repeatable behavioural traits, we found no evidence of a significant relationship among various encounter-based behaviours and vulnerability to angling for both species. There was also no evidence for size selection or for energetically less conditioned fish to be more vulnerable. The data cumulatively suggest that fine-scale behaviours after encountering a bait (e.g., frequency of bait intake) may be ultimately decisive for determining vulnerability to angling in benthivorous fish. Based on our work, fishing-induced selection on encounter-based behaviours in recreational angling for benthivorous fish in the wild appears unlikely.","10.1371/journal.pone.0173989","1932-6203",NA,"ISI:000396318300106","e0173989","Arlinghaus, Robert/0000-0003-2861-527X",NA,NA,165,206,403,"#000000",NA,""
"X.ISI.000396054300010","article","Camprasse, Elodie C. M. and Cherel, Yves and Arnould, John P. Y. and Hoskins, Andrew J. and Bost, Charles-Andre","Combined bio-logging and stable isotopes reveal individual specialisations in a benthic coastal seabird, the Kerguelen shag","PLOS ONE","2017","12","3",NA,"MAR 6","Individual specialisations, which involve the repetition of specific behaviours or dietary choices over time, have been suggested to benefit animals by avoiding competition with conspecifics and increasing individual foraging efficiency. Among seabirds, resident and benthic species are thought to be good models to study inter-individual variation as they repetitively exploit the same environment. We investigated foraging behaviour, isotopic niche and diet in the Kerguelen shag Phalacrocorax verrucosus during both the incubation and chick-rearing periods for the same individuals to determine the effect of sex, breeding stage, body mass and morphometrics on mean foraging metrics and their consistency. There were large differences between individuals in foraging behaviour and consistency, with strong individual specialisations in dive depths and heading from the colony. Stable isotopes revealed specialisations in feeding strategies, across multiple temporal scales. Specifically, individuals showed medium term specialisations in feeding strategies during the breeding season, as well as long-term consistency. A clustering analysis revealed 4 different foraging strategies displaying significantly different delta N-15 values and body masses. There were no sex or stage biases to clusters and individuals in different clusters did not differ in their morphology. Importantly, the results suggest that the different strategies emphasized were related to individual prey preferences rather than intrinsic characteristics.","10.1371/journal.pone.0172278","1932-6203",NA,"ISI:000396054300010","e0172278","Hoskins, Andrew/0000-0001-8907-6682",NA,NA,166,114,35,"#405d99","selected","foraging"
"X.ISI.000398132900011","article","Munro, J. C. and Schenkel, F. S. and Physick-Sheard, P. W. and Fontoura, A. B. P. and Miller, S. P. and Tennessen, T. and Montanholi, Y. R.","Associations of acute stress and overnight heart rate with feed efficiency in beef heifers","ANIMAL","2017","11","3","452-460","MAR","Proxies have the potential to accelerate feed efficiency (residual feed intake (RFI); kg dry matter/day) improvement, assisting with the reduction of beef cattle feed costs and environmental impact. Heart rate (HR) (beats per minute (BPM)) is associated with feed efficiency and influenced by autonomic activity and peripheral metabolism, suggesting HR could be used as a proxy for feed efficiency. Objectives were to assess associations between overnight HR, lying patterns and RFI, and between acute stress HR and RFI. Heifer calves (n=107; 408 +/- 28 days of age, 341 +/- 42.2 kg) and yearling heifers (n=36; 604 +/- 92 days of age, 539 +/- 52.2 kg) were exposed to a performance test to determine productive performance. Overnight HR (electrode based) and lying patterns (accelerometer based) were monitored on a subgroup of heifer calves (n=40; 20 lowest RFI; 20 highest RFI). In the 10-min acute stress assessment, all heifers were individually exposed to the opening and closing of an umbrella and HR before (HRBEF), in response to (HRMAX), after (HRAFT) and change (HRCHG; HRAFT-HRBEF) as a result of exposure were determined. Using polynomial regression, rate of HR decrease pre-exposure (beta(1)) and rates of HR increase (beta(2)) and decrease (beta 3, beta(4)) post-exposure were determined. Heifer calves in the overnight assessment were classified into equal RFI groups (low RFI; high RFI) and HR means were treated as repeated measures and compared using multiple regression. In the acute stress assessment, heifers were classified within cattle category into equal RFI groups (low RFI; high RFI) and means and polynomial regression parameters were compared using multiple regression. Low-RFI heifer calves had a lower overnight HR (69.2 v. 72.6 BPM), similar HR change from lying to standing intervals (8.9 v. 9.2 BPM) and similar time lying (61.1\% v. 64.5\%) compared with high-RFI heifer calves. Low-RFI heifer calves had a higher absolute HRMAX (162.9 v. 145.7 BPM) and beta(2) (-0.34 v. -0.20) than high-RFI heifer calves. Low-RFI yearling heifers had similar acute stress HR means and a lower beta(1) (0.003 v. 0.006) than high-RFI yearling heifers. Overnight HR and acute stress HR are potential indicators of RFI in heifer calves. However, acute stress HR results varied in yearling heifers, suggesting previous handling experience and/or age influence stress response. Pending further development (predictive ability, repeatability), the acute stress assessment could have potential for on-farm application as a feed efficiency proxy in young heifers with minimal handling experience.","10.1017/S1751731116001695","1751-7311","1751-732X","ISI:000398132900011",NA,NA,NA,NA,167,54,164,"#000000",NA,""
