Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Biro P.A., Adriaenssens B.","56470927200;25642360300;","Predictability as a personality trait: Consistent differences in intraindividual behavioral variation",2013,"American Naturalist","182","5",,"621","629",,33,"10.1086/673213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885236659&doi=10.1086%2f673213&partnerID=40&md5=9e7ed76bab2cbe30436d427d7a388d33","Centre for Integrative Ecology, School of Life and Environmental Science, Deakin University, Geelong, VIC 3216, Australia; Evolution and Ecology Research Centre, University of New South Wales, Sydney, NSW 2052, Australia; Lab for Functional Morphology, University of Antwerp, Universiteitsplein 1, B-2610 Antwerp, Belgium; Evolutionary and Ecological Physiology Lab, University of Sydney, A08 Heydon-Laurence Building, NSW 2006, Australia","Biro, P.A., Centre for Integrative Ecology, School of Life and Environmental Science, Deakin University, Geelong, VIC 3216, Australia, Lab for Functional Morphology, University of Antwerp, Universiteitsplein 1, B-2610 Antwerp, Belgium, Evolutionary and Ecological Physiology Lab, University of Sydney, A08 Heydon-Laurence Building, NSW 2006, Australia; Adriaenssens, B., Evolution and Ecology Research Centre, University of New South Wales, Sydney, NSW 2052, Australia","Although animal behavior is generally repeatable, most behavioral variation apparently occurs within rather than across individuals. With the exception of very recent interest in individual behavioral plasticity (consistent differences in responsiveness), this within-individual variation has been largely ignored despite its importance in the study of proximate and ultimate questions about behavior. Here, we repeatedly scored the undisturbed activity of 30 adult male mosquitofish across multiple observation bouts spanning 132 days (n = 37 observations per fish). We found that the behavior of some individuals was consistently more predictable in a given context than others. Repeatability for this ""intraindividual variation"" (IIV; r = 0.29) was evident after accounting for individual differences in activity trends across days, and activity responses due to fine-scale temperature variation (i.e., individual plasticity in response to both variables). To our knowledge, this is the first evidence that predictability of behavior is a repeatable characteristic of individual animals. We suggest that IIV represents an important axis of consistent behavioral variation that has previously not been formally considered. Finally, individual differences in predictability may similarly exist for labile morphological and physiological traits but have seemingly not been studied. © 2013 by The University of Chicago.","Behavioral consistency; Hormones; IIV; Intraindividual variation; Labile traits; Metabolism; Plasticity; Repeatability; Temperament; Within-individual","adult; animal; behavioral response; fish; hormone; male; metabolism; phenotypic plasticity; animal; animal behavior; article; biological model; Cyprinodontiformes; forecasting; male; physiology; Animals; Behavior, Animal; Cyprinodontiformes; Forecasting; Male; Models, Biological","Biro, P. A.; Centre for Integrative Ecology, School of Life and Environmental Science, Deakin University, Geelong, VIC 3216, Australia; email: pete.biro@deakin.edu.au",,,00030147,,AMNTA,"24107369","English","Am. Nat.",Article,,Scopus,2-s2.0-84885236659
"Beckmann C., Biro P.A.","24365953900;56470927200;","On the Validity of a Single (Boldness) Assay in Personality Research",2013,"Ethology","119","11",,"937","947",,44,"10.1111/eth.12137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884976182&doi=10.1111%2feth.12137&partnerID=40&md5=1fe0ed2bc363c1497b7c7c92ab9592e5","Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Vic., Australia","Beckmann, C., Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Vic., Australia; Biro, P.A., Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Vic., Australia","A common method to assess behavioral types in personality research involves the use of a single emergence test (employed by researchers working on fish, avian, mammal, amphibian, and invertebrate taxa), whereby a shorter latency to emerge from a holding container into a novel environment is inferred to represent greater 'boldness'. Although any behavior might be context specific, studies using this single assay type must assume it reflects boldness in other similar contexts, otherwise it cannot reflect personality (defined as consistency across time and/or contexts). We attempted to validate whether a single assay of this type is correlated with other similar assays of boldness under more familiar, and less stressful, situations. We compared single emergence test scores of two species of damselfish (Pomacentrus wardi; P. amboinensis) in a novel environment, with two different behavioral assays of the same fish in subsequent repeated trials in home tanks. Although behavior was highly repeatable in home tanks, we found no correlation between emergence test scores in the novel environment and measures of latency to emerge from shelter following disturbance, or activity levels, on the first, second, or third observations in home tanks; there was also no correlation when we used average home tank scores from mixed models that accounted for individual differences (i.e., plasticity) in the rate of habituation (latency) and acclimation (activity). Our results therefore lead us to question the validity of using this single emergence test assay as a predictor of general boldness and to question the use of any single assay of behavior in personality research. © 2013 Blackwell Verlag GmbH.",,"behavioral response; bioassay; correlation; emergence; fish; habituation; phenotypic plasticity; research; shelter; Amphibia; Aves; Invertebrata; Mammalia; Pomacentridae; Pomacentrus wardi","Beckmann, C.; Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, 75 Pigdons Road, Geelong, Vic. 3216, Australia; email: c.beckmann@deakin.edu.au",,,01791613,,ETHOE,,"English","Ethology",Article,,Scopus,2-s2.0-84884976182
"Merrill J.E., Read J.P., Colder C.R.","35234631900;7202391795;6603749133;","Normative perceptions and past-year consequences as predictors of subjective evaluations and weekly drinking behavior",2013,"Addictive Behaviors","38","11",,"2625","2634",,14,"10.1016/j.addbeh.2013.06.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881248535&doi=10.1016%2fj.addbeh.2013.06.021&partnerID=40&md5=a0191fd7e538ee6a070018bf823c7854","Department of Psychology, State University of New York at Buffalo, 207 Park Hall, Buffalo NY 14620, United States","Merrill, J.E., Department of Psychology, State University of New York at Buffalo, 207 Park Hall, Buffalo NY 14620, United States; Read, J.P., Department of Psychology, State University of New York at Buffalo, 207 Park Hall, Buffalo NY 14620, United States; Colder, C.R., Department of Psychology, State University of New York at Buffalo, 207 Park Hall, Buffalo NY 14620, United States","Problem drinking during the college years continues to be an important area of study. Subjective evaluations of consequences have recently been demonstrated to predict future drinking behavior; however, what predicts those evaluations is yet unknown. Social Learning Theory (SLT) provides a guiding framework in this study. Primary aims are to investigate whether individual differences in past experience with alcohol consequences and normative perceptions of alcohol consequences predict subjective evaluations (i.e., the extent to which consequences are perceived as negative, aversive, or severe) and weekly drinking behavior. We also test whether evaluations mediate the influence of past consequences and norms on weekly drinking behavior. Following a baseline assessment, participants (N=96 regularly drinking college students, 52% female) completed ten weekly web-based surveys on previous week alcohol use, consequences, and subjective evaluations of those consequences. A series of hierarchical linear models were used to test hypotheses. Most mediational pathways were not supported - weekly level evaluations do not appear to fully explain the effect of norms or past experience on weekly level drinking behavior. However, results demonstrated that normative perceptions of and past experience with consequences were associated with both weekly drinking behavior and subjective evaluations, and evaluations remained significant predictors of alcohol use behavior after accounting for these important between-person influences. Findings support the importance placed by SLT on cognition in drinking behavior, and suggest that norms for consequences and subjective evaluations may be appropriate targets of intervention in college students. © 2013 Elsevier Ltd.","Alcohol consequences; College students; Hierarchical linear model; Normative perceptions; Subjective evaluations","alcohol; adult; alcohol consumption; article; college student; controlled study; drinking behavior; evaluation; female; human; human experiment; male; perception; Alcohol consequences; College students; dependent variable; DV; Hierarchical linear model; hierarchical linear modeling; HLM; ICC; independent variable; intraclass correlation; IV; Normative perceptions; SLT; social learning theory; Subjective evaluations; Alcohol Drinking; Attitude to Health; Female; Humans; Longitudinal Studies; Male; Perception; Serial Learning; Students; Time Factors; Young Adult","Merrill, J.E.; Center for Alcohol and Addiction Studies, Department of Behavioral and Social Science, Brown University, BOX G-S121-4, Providence, RI 02912, United States; email: Jennifer_Merrill@brown.edu",,,03064603,,ADBED,"23899424","English","Addict. Behav.",Article,,Scopus,2-s2.0-84881248535
"Patrick S.C., Charmantier A., Weimerskirch H.","35316539200;6603297335;56213156300;","Differences in boldness are repeatable and heritable in a long-lived marine predator",2013,"Ecology and Evolution","3","13",,"4291","4299",,25,"10.1002/ece3.748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887525225&doi=10.1002%2fece3.748&partnerID=40&md5=a02f8425eeae29e6684c4108f5e0abde","Centre d'Etudes Biologiques de Chizé, CNRS-UPR1934, Villiers-en-Bois, 79360, France; Centre d'Ecologie Fonctionnelle et Evolutive, UMR 5175, Campus CNRS, Montpellier, Cedex 5, 34293, France","Patrick, S.C., Centre d'Etudes Biologiques de Chizé, CNRS-UPR1934, Villiers-en-Bois, 79360, France; Charmantier, A., Centre d'Ecologie Fonctionnelle et Evolutive, UMR 5175, Campus CNRS, Montpellier, Cedex 5, 34293, France; Weimerskirch, H., Centre d'Etudes Biologiques de Chizé, CNRS-UPR1934, Villiers-en-Bois, 79360, France","Animal personalities, composed of axes of consistent individual behaviors, are widely reported and can have important fitness consequences. However, despite theoretical predictions that life-history trade-offs may cause and maintain personality differences, our understanding of the evolutionary ecology of personality remains poor, especially in long-lived species where trade-offs and senescence have been shown to be stronger. Furthermore, although much theoretical and empirical work assumes selection shapes variation in personalities, studies exploring the genetic underpinnings of personality traits are rare. Here we study one standard axis of personality, the shy-bold continuum, in a long-lived marine species, the wandering albatross from Possession Island, Crozet, by measuring the behavioral response to a human approach. Using generalized linear mixed models in a Bayesian framework, we show that boldness is highly repeatable and heritable. We also find strong differences in boldness between breeding colonies, which vary in size and density, suggesting birds are shyer in more dense colonies. These results demonstrate that in this seabird population, boldness is both heritable and repeatable and highlights the potential for ecological and evolutionary processes to shape personality traits in species with varying life-history strategies. © 2013 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","Animal model; Bayesian environment; Individual behavioral differences; Personality; Quantitative genetics; Wandering albatross",,"Patrick, S.C.; Biosciences QU116, Campus University of Glocestershire, Francis Close Hall, Cheltenham, GL50 4AZ, United Kingdom; email: spatrick@glos.ac.uk",,,20457758,,,,"English","Ecology and Evolution",Article,Open Access,Scopus,2-s2.0-84887525225
"Haage M., Bergvall U.A., Maran T., Kiik K., Angerbjörn A.","55847778100;36876789700;6507732694;55599115300;7004082312;","Situation and context impacts the expression of personality: The influence of breeding season and test context",2013,"Behavioural Processes","100",,,"103","109",,13,"10.1016/j.beproc.2013.08.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883620743&doi=10.1016%2fj.beproc.2013.08.009&partnerID=40&md5=126c4bc55a157bd7702f1cbb35822880","Department of Zoology, Stockholm University, SE-106 91 Stockholm, Sweden; Grimsö Wildlife Research Station, Department of Ecology, Swedish University of Agricultural Sciences, SE-730 91 Riddarhyttan, Sweden; Conservation Research Lab, Tallinn Zoological Gardens, Paldiski mnt. 145, 13522 Tallinn, Estonia; Institute of Veterinary Medicine and Animal Sciences, Estonian University of Life Sciences, Kreutzwaldi 62, 51014 Tartu, Estonia; Department of Zoology, Institute of Ecology and Earth Sciences, Tartu University, Vanemuise 46, 51014 Tartu, Estonia","Haage, M., Department of Zoology, Stockholm University, SE-106 91 Stockholm, Sweden; Bergvall, U.A., Grimsö Wildlife Research Station, Department of Ecology, Swedish University of Agricultural Sciences, SE-730 91 Riddarhyttan, Sweden; Maran, T., Conservation Research Lab, Tallinn Zoological Gardens, Paldiski mnt. 145, 13522 Tallinn, Estonia, Institute of Veterinary Medicine and Animal Sciences, Estonian University of Life Sciences, Kreutzwaldi 62, 51014 Tartu, Estonia; Kiik, K., Department of Zoology, Institute of Ecology and Earth Sciences, Tartu University, Vanemuise 46, 51014 Tartu, Estonia; Angerbjörn, A., Department of Zoology, Stockholm University, SE-106 91 Stockholm, Sweden","Non-human animal personality is defined as consistent behavioural differences across time and situations/contexts. Behaviours are, however, often plastic and to explain how plasticity and personality may coexist an adaptive framework has been developed. Still, there is little information on how personality is impacted by situations and contexts on an individual level. We investigated this in the European mink (Mustela lutreola) by performing a set of five experiments in two situations consisting of non-breeding and breeding season, and by using different test contexts. Three personality trait domains were identified; boldness, exploration and sociability. The levels of boldness and exploration changed between seasons but remained repeatable, which implies behavioural reaction norms and supports that the concept of personality remained applicable despite plasticity. Whilst males became bolder and more explorative in the breeding season females became shyer, which reflects European mink breeding behaviour. Furthermore, behaviours performed in mirror stimulus tests fell into different domains depending on whether, the test was conducted in the own territory or not, suggesting plasticity in the response towards conspecifics. To conclude, our results highlight the importance of situation and context for the expression of personality, and the significance of measuring multiple personality trait domains with several methods. © 2013 Elsevier B.V.","Breeding season; Context; European mink (Mustela lutreola); Personality; Plasticity; Situation","breeding season; conspecific; mustelid; phenotypic plasticity; reaction norm; animal behavior; animal experiment; article; breeding; exploratory behavior; female; male; mink; nonhuman; personality; plasticity; season; social behavior; social environment; Breeding season; Context; European mink (Mustela lutreola); Personality; Plasticity; Situation; Age Factors; Animals; Behavior, Animal; Female; Male; Mink; Personality; Reproduction; Seasons","Haage, M.; Department of Zoology, Stockholm University, SE-106 91 Stockholm, Sweden; email: marianne.haage@zoologi.su.se",,,03766357,,BPROD,"23988476","English","Behav. Processes",Article,,Scopus,2-s2.0-84883620743
"Jennings D.J., Hayden T.J., Gammell M.P.","7103249757;7005478369;6506160288;","Personality and predictability in fallow deer fighting behaviour: Therelationship with mating success",2013,"Animal Behaviour","86","5",,"1041","1047",,14,"10.1016/j.anbehav.2013.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886232872&doi=10.1016%2fj.anbehav.2013.09.009&partnerID=40&md5=c8046879d72c23ae1a0e961bb2f80df1","Centre for Behaviour and Evolution, Institute of Neuroscience, Newcastle University, United Kingdom; School of Biology and Environmental Science, University College, Dublin, Ireland; Marine and Freshwater Research Centre, Galway-Mayo Institute of Technology, Ireland","Jennings, D.J., Centre for Behaviour and Evolution, Institute of Neuroscience, Newcastle University, United Kingdom; Hayden, T.J., School of Biology and Environmental Science, University College, Dublin, Ireland; Gammell, M.P., Marine and Freshwater Research Centre, Galway-Mayo Institute of Technology, Ireland","Individuals often differ from each other in how they respond to environmental events: a feature of behaviour often termed animal personality. Furthermore, animals often show unpredictability in how much they respond to these events over time leading to the suggestion that personality and intraindividual variability (IIV) might have important fitness consequences. We investigated this hypothesis by focusing on the tendency for individually identifiable male fallow deer, Dama dama, to escalate low-level (noncontact) agonistic interactions to fighting during the rut. Males differed in their tendency to escalate noncontact interactions to fighting; however, repeatability in escalation rates was unstable over the rut suggesting that escalation rate is a poor measure of personality. There was no difference in the level of IIV in escalation rate shown by males. A comparison of IIV recorded over two consecutive annual ruts showed that IIV was highly correlated between years; therefore, over an extended time period individuals were consistent in their willingness to engage in fighting. There was a nonlinear relationship between IIV and mating success; specifically, individuals that showed either low or high IIV in escalation rate had lower mating success than individuals that showed intermediate levels of IIV. Aggression and the willingness to commit to fighting are important fitness correlates; nevertheless, our understanding of how personality and IIV are related to aggression is poorly understood. This study shows that although escalation rate appears to be a poor measure of personality in the fallow deer, IIV is related to increased fitness in individuals that show intermediate levels of predictability in their willingness to fight over therut. © 2013 The Association for the Study of Animal Behaviour.","Dama dama; Escalation rate; Fallow deer; Fighting; Intraindividual variability; Mating success; Personality; Predictability","aggression; agonistic behavior; behavioral response; deer; fighting; fitness; mating success; Animalia; Cervidae; Dama dama","Jennings, D.J.; Centre for Behaviour and Evolution, Institute of Neuroscience, Newcastle University, Framlington Place, Newcastle upon Tyne NE2 4HH, United Kingdom; email: domhnall.jennings@ncl.ac.uk",,,00033472,,ANBEA,,"English","Anim. Behav.",Article,,Scopus,2-s2.0-84886232872
"Malinowska U., Chatelle C., Bruno M.-A., Noirhomme Q., Laureys S., Durka P.J.","8666502100;24764550200;26429255700;6507966650;7004546122;6701830123;","Electroencephalographic profiles for differentiation of disorders of consciousness",2013,"BioMedical Engineering Online","12","1", 109,"","",,27,"10.1186/1475-925X-12-109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887192544&doi=10.1186%2f1475-925X-12-109&partnerID=40&md5=e9b8813e7eed04463b276a631ad733a6","Faculty of Physics, University of Warsaw, ul. Hoza 69, Warszawa 00-681, Poland; Coma Science Group, Cyclotron Research Centre, University of Liège, Liège, Belgium; Neurology Dept, University Hospital of Liège, Liège, Belgium","Malinowska, U., Faculty of Physics, University of Warsaw, ul. Hoza 69, Warszawa 00-681, Poland; Chatelle, C., Coma Science Group, Cyclotron Research Centre, University of Liège, Liège, Belgium, Neurology Dept, University Hospital of Liège, Liège, Belgium; Bruno, M.-A., Coma Science Group, Cyclotron Research Centre, University of Liège, Liège, Belgium, Neurology Dept, University Hospital of Liège, Liège, Belgium; Noirhomme, Q., Coma Science Group, Cyclotron Research Centre, University of Liège, Liège, Belgium, Neurology Dept, University Hospital of Liège, Liège, Belgium; Laureys, S., Coma Science Group, Cyclotron Research Centre, University of Liège, Liège, Belgium, Neurology Dept, University Hospital of Liège, Liège, Belgium; Durka, P.J., Faculty of Physics, University of Warsaw, ul. Hoza 69, Warszawa 00-681, Poland","Background: Electroencephalography (EEG) is best suited for long-term monitoring of brain functions in patients with disorders of consciousness (DOC). Mathematical tools are needed to facilitate efficient interpretation of long-duration sleep-wake EEG recordings.Methods: Starting with matching pursuit (MP) decomposition, we automatically detect and parametrize sleep spindles, slow wave activity, K-complexes and alpha, beta and theta waves present in EEG recordings, and automatically construct profiles of their time evolution, relevant to the assessment of residual brain function in patients with DOC.Results: Above proposed EEG profiles were computed for 32 patients diagnosed as minimally conscious state (MCS, 20 patients), vegetative state/unresponsive wakefulness syndrome (VS/UWS, 11 patients) and Locked-in Syndrome (LiS, 1 patient). Their interpretation revealed significant correlations between patients' behavioral diagnosis and: (a) occurrence of sleep EEG patterns including sleep spindles, slow wave activity and light/deep sleep cycles, (b) appearance and variability across time of alpha, beta, and theta rhythms. Discrimination between MCS and VS/UWS based upon prominent features of these profiles classified correctly 87% of cases.Conclusions: Proposed EEG profiles offer user-independent, repeatable, comprehensive and continuous representation of relevant EEG characteristics, intended as an aid in differentiation between VS/UWS and MCS states and diagnostic prognosis. To enable further development of this methodology into clinically usable tests, we share user-friendly software for MP decomposition of EEG (http://braintech.pl/svarog) and scripts used for creation of the presented profiles (attached to this article). © 2013 Malinowska et al.; licensee BioMed Central Ltd.","Disorders of consciousness; Electroencephalography; Locked-in syndrome; Matching Pursuit; Minimally conscious state; Vegetative state","Electrophysiology; Locks (fasteners); Patient monitoring; Sleep research; Software testing; Disorders of consciousness; Locked-in syndrome; Matching pursuit; Minimally conscious state; Vegetative state; Electroencephalography; adolescent; adult; aged; alpha rhythm; article; beta rhythm; brain function; brain injury; child; clinical article; consciousness disorder; controlled study; electroencephalography; female; human; locked in syndrome; male; middle aged; minimally conscious state; persistent vegetative state; preschool child; school child; sleep pattern; theta rhythm; wakefulness; young adult; brain; consciousness disorder; differential diagnosis; electrophysiology; pathophysiology; physiology; signal processing; sleep; very elderly; Adolescent; Adult; Aged; Aged, 80 and over; Brain; Child; Child, Preschool; Consciousness Disorders; Diagnosis, Differential; Electroencephalography; Electrophysiological Processes; Female; Humans; Male; Middle Aged; Signal Processing, Computer-Assisted; Sleep; Wakefulness; Young Adult","Malinowska, U.; Faculty of Physics, University of Warsaw, ul. Hoza 69, Warszawa 00-681, Poland; email: ula@fuw.edu.pl",,"BioMed Central Ltd.",1475925X,,BEOIB,"24143892","English","Biomed. Eng. Online",Article,,Scopus,2-s2.0-84887192544
"Verdolin J.L., Harper J.","6508022407;55759009200;","Are shy individuals less behaviorally variable? Insights from a captive population of mouse lemurs",2013,"Primates","54","4",,"309","314",,8,"10.1007/s10329-013-0360-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884989209&doi=10.1007%2fs10329-013-0360-8&partnerID=40&md5=fd2a8cbb3c669cfa2cec3fe790f8113c","National Evolutionary Synthesis Center (NESCent), 2024 W. Main Street, Durham, NC, 27705, United States; Department of Biological Sciences, North Carolina State University, Raleigh, NC, 27695, United States; Department of Biological Sciences, University of Leeds, Leeds, LS2 9JT, United Kingdom","Verdolin, J.L., National Evolutionary Synthesis Center (NESCent), 2024 W. Main Street, Durham, NC, 27705, United States; Harper, J., Department of Biological Sciences, North Carolina State University, Raleigh, NC, 27695, United States, Department of Biological Sciences, University of Leeds, Leeds, LS2 9JT, United Kingdom","Increasingly, individual variation in personality has become a focus of behavioral research in animal systems. Boldness and shyness, often quantified as the tendency to explore novel situations, are seen as personality traits important to the fitness landscape of individuals. Here we tested for individual differences within and across contexts in behavioral responses of captive mouse lemurs (Microcebus murinus) to novel objects, novel foods, and handling. We report consistent differences in behavioral responses for objects and handling. We also found that the responses to handling and novel objects were correlated and repeatable. Lastly, we show that shyer individuals may show less variability in their behavioral responses. This study provides new information on the potential for behavioral syndromes in this species and highlights differences in the degree to which behavioral types (e.g., shy/bold) vary in their behavioral responses. © 2013 Japan Monkey Centre and Springer Japan.","Behavioral repeatability; Boldness; Novel object; Personality; Temperament","behavioral response; captive population; fitness; population density; primate; Animalia; Lemur; Lemuridae; Microcebus murinus; animal; article; Cheirogaleidae; exploratory behavior; female; food; male; motivation; physiology; social behavior; videorecording; Animals; Cheirogaleidae; Exploratory Behavior; Female; Food; Handling (Psychology); Male; Social Behavior; Videotape Recording","Verdolin, J. L.; National Evolutionary Synthesis Center (NESCent), 2024 W. Main Street, Durham, NC, 27705, United States; email: verdolin@nescent.org",,,00328332,,,"23760536","English","Primates",Article,,Scopus,2-s2.0-84884989209
"Burtka J.L., Grindstaff J.L.","55224586500;57200297965;","Repeatable nest defense behavior in a wild population of Eastern bluebirds (Sialia sialis) as evidence of personality",2013,"Acta Ethologica","16","3",,"135","146",,16,"10.1007/s10211-013-0143-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884417469&doi=10.1007%2fs10211-013-0143-7&partnerID=40&md5=b2f727201179b5338671f7ab3172c449","Department of Zoology, Oklahoma State University, 501 Life Sciences West, Stillwater, OK, 74078, United States","Burtka, J.L., Department of Zoology, Oklahoma State University, 501 Life Sciences West, Stillwater, OK, 74078, United States; Grindstaff, J.L., Department of Zoology, Oklahoma State University, 501 Life Sciences West, Stillwater, OK, 74078, United States","Consistent individual differences in behavior, or personality, have been demonstrated in a variety of species other than humans, including mammals, birds, and invertebrates. Behavioral consistency has been shown to affect dispersal, foraging, exploration, and antipredator responses, which may have an impact on parental and offspring survival. Despite increasing research in behavioral consistency, the repeatability of nest defense behavior has rarely been assessed in wild bird populations. Furthermore, previous studies investigating nest defense behavior have utilized laboratory studies or mounted predators to elicit defensive behavior. It is important to assess personality in wild populations to fully understand the fitness consequences of behavioral consistency across natural contexts and to utilize live predators or competitors for accurate assessment of defensive behavior. We used an ecologically relevant, live, invasive, nest site competitor, the house sparrow (Passer domesticus), to elicit nest defense behavior in a wild population of Eastern bluebirds (Sialia sialis) to determine if nest defense behavior is repeatable within and between years for males and females (males: 2009, N = 17; 2010, N = 18; both years, N = 9. Females: 2009, N = 22; 2010, N = 15; both years, N = 11). We also determined if individual behavior changes as a function of season, parental age, brood size, or the number of house sparrows around the nest site. We found that females demonstrated repeatable behavior both within and between years. Male nest defense behavior was only repeatable in 1 year and was influenced by season in the other year. Parental age, brood size, and the number of house sparrows around the nest site did not affect nest defense behavior. We conclude that Eastern bluebirds demonstrate consistent nest defense behavior, or personality, although males are more plastic than females. © 2013 Springer-Verlag Berlin Heidelberg and ISPA.","Nest defense; Personality; Repeatability; Simulated territorial intrusion","Aves; Invertebrata; Mammalia; Passer domesticus; Sialia sialis","Burtka, J. L.; Department of Zoology, Oklahoma State University, 501 Life Sciences West, Stillwater, OK, 74078, United States; email: jay.burtka@okstate.edu",,,08739749,,AECTD,,"English","Acta Ethol.",Article,,Scopus,2-s2.0-84884417469
"Goodie A.S., MacKillop J., Miller J.D., Fortune E.E., Maples J., Lance C.E., Campbell W.K.","6603784211;8855524600;55547139304;35179460000;36117865100;7004610403;7402861060;","Evaluating the South Oaks Gambling Screen With DSM-IV and DSM-5 Criteria: Results From a Diverse Community Sample of Gamblers",2013,"Assessment","20","5",,"523","531",,15,"10.1177/1073191113500522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884473205&doi=10.1177%2f1073191113500522&partnerID=40&md5=69de1ed180e8e496601d7547d15c5db1","University of Georgia, Athens, GA, United States; Brown University, Providence, RI, United States","Goodie, A.S., University of Georgia, Athens, GA, United States; MacKillop, J., University of Georgia, Athens, GA, United States, Brown University, Providence, RI, United States; Miller, J.D., University of Georgia, Athens, GA, United States; Fortune, E.E., University of Georgia, Athens, GA, United States; Maples, J., University of Georgia, Athens, GA, United States; Lance, C.E., University of Georgia, Athens, GA, United States; Campbell, W.K., University of Georgia, Athens, GA, United States","Despite widespread use, the South Oaks Gambling Screen (SOGS) has been criticized for excessive false positives as an indicator of pathological gambling (PG), and for items that misalign with PG criteria. We examine the relationship between SOGS scores and PG symptoms and convergent validity with regard to personality, mood, and addictive behaviors in a sample of 353 gamblers. SOGS scores correlated r = .66 with both DSM-IV and DSM-5 symptoms, and they manifested similar correlations with external criteria (intraclass correlation of .95). However, 195 false positives and 1 false negative were observed when using the recommended cut point, yielding an 81% false alarm rate. For uses with DSM-IV criteria, a cut point of 10 would retain high sensitivity with greater specificity and fewer false positives. For DSM-5 criteria, we advocate a cut point of 8 for use as a clinical screen and a cut point of 12 for prevalence and pseudo-experimental studies. © The Author(s) 2013.","DSM-5; false alarm rate; gambling; pathological gambling; South Oaks Gambling Screen","addiction; adult; affect; article; Black person; Caucasian; Diagnostic and Statistical Manual of Mental Disorders; DSM-5; false alarm rate; female; gambling; human; impulse control disorder; male; pathological gambling; personality test; predictive value; psychological aspect; questionnaire; sensitivity and specificity; South Oaks Gambling Screen; validation study; DSM-5; false alarm rate; gambling; pathological gambling; South Oaks Gambling Screen; Adult; Affect; African Continental Ancestry Group; Behavior, Addictive; Diagnostic and Statistical Manual of Mental Disorders; European Continental Ancestry Group; Female; Gambling; Humans; Impulse Control Disorders; Male; Personality Inventory; Predictive Value of Tests; Questionnaires; Sensitivity and Specificity","Goodie, A. S.; Department of Psychology, University of Georgia, 125 Baldwin Street, Athens, GA 30602-3013, United States; email: goodie@uga.edu",,,10731911,,,"23946283","English","Assessment",Article,,Scopus,2-s2.0-84884473205
