key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract
Alcalay_2015_OECO,foraging syndromes and trait variation in antlions along a climatic gradient,"Alcalay, Yehonatan and Scharf, Inon and Ovadia, Ofer",OECOLOGIA,NA,178,NA,1093-1103,2015,NA,10.1007/s00442-015-3284-8,"Behavioral syndromes arise when individual behavior is correlated over time and/or across environmental contexts, often resulting in inter-population behavioral differences. Three main hypotheses have been suggested to explain the evolution of behavioral syndromes. The constraint hypothesis suggests that behaviors originate from a shared mechanism with a strong genetic or physiological basis. In contrast, according to the adaptive hypothesis, behavioral syndromes depend on specific selective pressures in each environment, and thus should evolve when specific behavioral combinations are advantageous. Finally, behavioral syndromes can also arise owing to neutral stochastic processes. We tested here for variation in the foraging syndromes of pit-building antlions originating from different populations along a climatic gradient. Although inter-population variation existed in some traits, foraging syndromes were similar across populations, supporting the constraint hypothesis. These findings suggest that stabilizing selection, acting on the foraging behavior of antlions during their larval phase, outweighs local selection pressures, resulting in ``constraint syndromes.{''} We also explored behavioral repeatability of foraging-related traits within and among habitats (natural, novel and disturbed habitats), and detected different levels of repeatability: pit diameter was more repeatable than response time to prey, followed by prey exploitation efficiency. Behavioral repeatability of the same trait differed according to context, suggesting that repeatability is a trait in itself and should not be considered identical even when studying the same behavioral trait."
Aldridge_2017_EUROPSYC,assessing test-retest reliability of psychological measures persistent methodological problems,"Aldridge, Victoria K. and Dovey, Terence M. and Wade, Angie",EUROPEAN PSYCHOLOGIST,NA,22,NA,207-218,2017,NA,10.1027/1016-9040/a000298,"Psychological research and clinical practice rely heavily on psychometric testing for measuring psychological constructs that represent symptoms of psychopathology, individual difference characteristics, or cognitive profiles. Test-retest reliability assessment is crucial in the development of psychometric tools, helping to ensure that measurement variation is due to replicable differences between people regardless of time, target behavior, or user profile. While psychological studies testing the reliability of measurement tools are pervasive in the literature, many still discuss and assess this form of reliability inappropriately with regard to the specified aims of the study or the intended use of the tool. The current paper outlines important factors to consider in test-retest reliability analyses, common errors, and some initial methods for conducting and reporting reliability analyses to avoid such errors. The paper aims to highlight a persistently problematic area in psychological assessment, to illustrate the real-world impact that these problems can have on measurement validity, and to offer relatively simple methods for improving the validity and practical use of reliability statistics."
Allegue_2017_MEINECANEV,statistical quantification of individual differences (squid): an educational and statistical tool for understanding multilevel phenotypic data in linear mixed models,"Allegue, Hassen and Araya-Ajoy, Yimen G. and Dingemanse, Niels J. and Dochtermann, Ned A. and Garamszegi, Laszlo Z. and Nakagawa, Shinichi and Reale, Denis and Schielzeth, Holger and Westneat, David F.",METHODS IN ECOLOGY AND EVOLUTION,NA,8,NA,257-267,2017,NA,10.1111/2041-210X.12659,"1. Phenotypic variation exists in and at all levels of biological organization: variation exists among species, among-individuals within-populations, and in the case of l within-populations abile traits, within-individuals. Mixed-effects models represent ideal tools to quantify multilevel measurements of traits and are being increasingly used in evolutionary ecology. Mixed-effects models are relatively complex, and two main issues may be hampering their proper usage: (i) the relatively few educational resources available to teach new users how to implement and interpret them and (ii) the lack of tools to ensure that the statistical parameters of interest are correctly estimated. In this paper, we introduce Statistical Quantification of Individual Differences (SQuID), a simulation-based tool that can be used for research and educational purposes. SQuID creates a virtual world inhabited by subjects whose phenotypes are generated by a user-defined phenotypic equation, which allows easy translation of biological hypotheses into quantifiable parameters. Statistical Quantification of Individual Differences currently models normally distributed traits with linear predictors, but SQuID is subject to further development and will adapt to handle more complex scenarios in the future. The current framework is suitable for performing simulation studies, determining optimal sampling designs for user-specific biological problems and making simulation-based inferences to aid in the interpretation of empirical studies. Statistical Quantification of Individual Differences is also a teaching tool for biologists interested in learning, or teaching others, how to implement and interpret linear mixed-effects models when studying the processes causing phenotypic variation. Interface-based modules allow users to learn about these issues. As research on effects of sampling designs continues, new issues will be implemented in new modules, including nonlinear and non-Gaussian data."
Alos_2017_ROYASOCIOPENSCIE,repeatability of circadian behavioural variation revealed in free-ranging marine fish,"Alos, Josep and Martorell-Barcelo, Martina and Campos-Candela, Andrea",ROYAL SOCIETY OPEN SCIENCE,NA,4,NA,NA,2017,NA,10.1098/rsos.160791,"Repeatable between-individual differences in the behavioural manifestation of underlying circadian rhythms determine chronotypes in humans and terrestrial animals. Here, we have repeatedly measured three circadian behaviours, awakening time, rest onset and rest duration, in the free-ranging pearly razorfish, Xyrithchys novacula, facilitated by acoustic tracking technology and hidden Markov models. In addition, daily travelled distance, a standard measure of daily activity as fish personality trait, was repeatedly assessed using a State-Space Model. We have decomposed the variance of these four behavioural traits using linear mixed models and estimated repeatability scores (R) while controlling for environmental co-variates: year of experimentation, spatial location of the activity, fish size and gender and their interactions. Between-and within-individual variance decomposition revealed significant Rs in all traits suggesting high predictability of individual circadian behavioural variation and the existence of chronotypes. The decomposition of the correlations among chronotypes and the personality trait studied here into between-and within-individual correlations did not reveal any significant correlation at between-individual level. We therefore propose circadian behavioural variation as an independent axis of the fish personality, and the study of chronotypes and their consequences as a novel dimension in understanding within-species fish behavioural diversity."
Amat_2018_CUOPININSC,insect personality: what can we learn from metamorphosis?,"Amat, Isabelle and Desouhant, Emmanuel and Gomes, Elisa and Moreau, Jerome and Monceau, Karine",CURRENT OPINION IN INSECT SCIENCE,NA,27,NA,46-51,2018,NA,10.1016/j.cois.2018.02.014,"Ontogeny of animal personality is still an open question. Testing whether personality traits correlated with state variables (e.g. metabolic rate, hormones) and/or life history traits, and which ones are involved, requires more empirical studies. Insects with metamorphosis represent a good opportunity to tackle this question. Because of the various degrees of internal (physiological, nervous) and environmental changes linked to metamorphosis they allow testing whether these modifications drive consistency in personality traits between immature and adult stages. In this review, we establish general predictions for the effects of metamorphosis on personality in insects with complete or incomplete metamorphosis and suffering from a strong or weak niche shift after metamorphosis. We then reviewed the still rare empirical literature and discuss future research axes."
Ambardar_2017_GENANDCOMEND,pre-gnrh and gnrh-induced testosterone levels do not vary across behavioral contexts: a role for individual variation,"Ambardar, Medhavi and Grindstaff, Jennifer L.",GENERAL AND COMPARATIVE ENDOCRINOLOGY,NA,246,NA,51-62,2017,NA,10.1016/j.ygcen.2017.03.009,"Hormones can facilitate the expression of behavior, but relatively few studies have considered individual variation and repeatability in hormone-behavior relationships. Repeated measures of hormones are valuable because repeatability in hormone levels might be a mechanism that drives repeatability in behavior ({''}personality{''}). Testosterone is predicted to promote territorial aggression and suppress parental behaviors. In our population of eastern bluebirds (Sialia sialis), parental care and nest defense aggression toward a heterospecific are repeatable. We tested the hypothesis that repeatability of testosterone levels within individuals underlies repeatable behaviors observed in our population. We measured nestling provisioning and aggressive nest defense against a heterospecific. After behavioral observations we captured either the male or female bluebird, and determined initial testosterone levels and maximum capacity of the gonads to secrete testosterone by injecting gonadotropin-releasing hormone (GnRH). We found among-individual variation in initial testosterone levels for males and females. Individual males were repeatable in both initial and GnRH-induced testosterone levels across behavioral contexts, while individual females were repeatable in GnRH-induced testosterone levels. However, testosterone levels were not significantly related to parental or nest defense behaviors, suggesting that repeatable testosterone levels may not drive repeatable parental and heterospecific nest defense behaviors in this population. The absence of a relationship between testosterone and parental and heterospecific nest defense behaviors might be due to among-individual variation in testosterone levels. Considering the sources of variation in testosterone levels may reveal why some populations exhibit high individual variation in hormone levels. (C) 2017 Elsevier Inc. All rights reserved."
Amy_2017_ETHO,personality traits and behavioural profiles in the domestic canary are affected by sex and photoperiod,"Amy, Mathieu and Ung, Davy and Beguin, Nathalie and Leboucher, Gerard",ETHOLOGY,NA,123,NA,885-893,2017,NA,10.1111/eth.12662,"Personality traits and behavioural profiles are generally assumed to be stable in adulthood. Yet, it has been hypothesised that animals should cope with cyclical fluctuations by adjusting both single behaviours and suites of behaviour. Photoperiod is well known to induce hormonal and physiological changes, and these changes can in turn affect personality traits and behavioural profiles. This study is the first to explicitly investigate the influence of photoperiod on both behavioural profiles and personality traits. Six potential personality traits (within-flock activity, ability to escape, response to threat, isolation calling, boldness and neophobia) and dominance were measured four times in 96 domestic canaries Serinus canaria (48 males and 48 females): twice during a long photoperiod (Long Days) and 6months later twice during a short photoperiod (Short Days). Without regard to sex and photoperiod, most traits were highly repeatable, and bolder canaries were more dominant, less sensitive to an external threat and to isolation and less neophobic. In addition, the more active individuals within a flock were the more difficult to catch. Yet, both sex and photoperiod affected personality traits and behavioural profiles. Personality traits remained repeatable within each photoperiod though we observed behavioural plasticity and sex differences for response to threat, neophobia and within-flock activity. Concerning behavioural profiles, the negative relationship between boldness and neophobia remained homogenous in both sexes during Short Days as well as during Long Days. Then, the more active individuals within a flock were the more difficult to catch in Short Days but not in Long Days. Finally, the other correlations not only varied with photoperiod but also with sex. Our study highlights the importance of photoperiod and sex in the expression of personality traits and behavioural profiles, and of the need to measure them across the whole photoperiodic cycle."
Anai_2015_EnvHeaandPreMed,determinant factors of the difference between self-reported weight and measured weight among japanese,"Anai, A. and Ueda, K. and Harada, K. and Katoh, T. and Fukumoto, K. and Wei, C.-N.",Environmental Health and Preventive Medicine,NA,20,NA,447-454,2015,NA,10.1007/s12199-015-0489-8,"Objectives: To assess the difference between self-reported and measured weight values in Japanese men and women and to determine the underlying determinants of the differences between self-reported and measured values. Methods: The data were collected from 363 general Japanese individuals aged 1688years living in Kumamoto prefecture. Participants completed a self-administered questionnaire designed for this study with self-reported weight and height values. Measured weight and height were measured immediately after questionnaire completion. Paired t-tests identified differences between self-reported and measured values by sex. Multiple-stepwise regression analysis examined the independent variables effects on the differences between self-reported and measured weights. Results: Significant differences were found between self-reported and measured values for both sexes (p<0.001). There was a significant negative relationship between the difference in an individuals self-reported and measured weight in each sex, with higher measured weight individuals more likely to underestimate their weight. Multiple-stepwise regression analysis models explained 12.1% (p<0.01), 11.3% (p<0.01), and 5.6% (p<0.01) of the variance in all participants, men, and women, respectively. Significant effects were found for age, weight measurement frequency, and measured weight in total participants, weight measurement frequency, and measured weight for men, and age for women. Conclusions: In this study, the mean absolute value of the weight and height variances proved the unreliability of self-reported weight and height values. This studys findings suggest self-reported weight inaccuracy especially for obese populations. This should be adjusted when using it in epidemiological studies and healthcare planning.  2015, The Japanese Society for Hygiene."
Andrade_2001_APPLANIMBEHASCIE,some effects of repeated handling and the use of a mask on stress responses in zebu cattle during restraint,"Andrade, O and Orihuela, A and Solano, J and Galina, CS",APPLIED ANIMAL BEHAVIOUR SCIENCE,NA,71,NA,175-181,2001,NA,10.1016/S0168-1591(00)00177-5,"The objective of this investigation was to evaluate the effect of repeated handling and the use of a mask on the order of entry, temperament, cortisol concentration and heart and respiratory rates of Brahman cattle during restraint in a squeeze chute. In the first experiment, 18 cows were restrained in the chute for 10 min on 19 test-days and blood samples were collected during five of the trials. Habituation to handling was reflected by a decrease in cortisol concentration as the study advanced (P < 0.01). In the second experiment. conducted 6 months later, animals were randomly allotted to two groups, alternating the use of a mask over test-days while restraining the cows in the chute for 3 min, Respiratory and heart rates were measured at the beginning and end of each 3 min trial. A blood sample was also taken at the end of each trial. Respiratory rates decreased while the animals were restrained and this decrease tended to be greater (P = 0.09) when the animals were wearing masks (3.06) than when not (2.2 breaths/min). Heart rates also decreased and more so for masked animals (10.6 beats/min) than for non-masked (5.0, P < 0.01). Cortisol values tended to be higher (9.9 versus 4.7 ng/ml, P = 0.08) when animals were restrained without a mask. Temperament scores were lower (P > 0.01) when cows were masked and have a relative high correlation (r = 0.58) with flight distance values, (P < 0.05). Finally, the order of entrance was found consistent over test-days, (P < 0.01). It is concluded that Brahman cattle: (a) habituate to repeat handling in a squeeze chute; (b) are less emotionally reactive when their eyes were covered during this process and (c) establish a repeatable order of entrance to the chute. (C) 2001 Elsevier Science B.V. All rights reserved."
Andreas_2007_Psyc,"a psychometric evaluation of the german version of the 'health of the nation outcome scales, honos-d': on the feasibility and reliability of clinician-performed measurements of severity in patients with mental disorders","Andreas, S. and Harfst, T. and Dirmaier, J. and Kawski, S. and Koch, U. and Schulz, H.",Psychopathology,NA,40,NA,116-125,2007,NA,10.1159/000098492,"Background: The assessment of the severity of a mental illness is a central component in the treatment of patients with mental disorders in both the in- and outpatient settings. In Great Britain, the 'Health of the Nation Outcome Scales, HoNOS' were developed to assess the health and social functioning of patients with mental disorders. Aims: To examine the psychometric properties, especially the feasibility and reliability, of a German version of the HoNOS (HoNOS-D) and to thus provide international data for the comparison of different mental health services. Sampling and Methods: The HoNOS was translated into German (HoNOS-D) in an extensive and multilayered consensus procedure. The HoNOS-D was then reviewed within the framework of a pilot study on quality assurance measures implemented by the German statutory health insurance institutes in 11 hospitals. Assessments were made of the psychometric qualities of feasibility and reliability using a representative sample of patients with mental and behavioral disorders. Results: An analysis of the feasibility of the HoNOS-D showed a range of missing values between 1.3 and 4.5% for 11 of the 12 items. An item analysis showed that three items of the HoNOS-D are particularly positively skewed. In most instances, the individual items of the rating scale exhibited only slight correlations to each other. With regard to retest reliability, satisfactory intraclass correlations between 0.80 and 0.91 were seen for 9 of the 12 items. Conclusions: The authors of the original version of the HoNOS [Wing et al.:Br J Psychiatry 1998;172:11-18] primarily emphasized the feasibility of the instrument and the independence of the individual items and dimensions. The analysis of the missing values showed satisfactory results for feasibility. The intercorrelation matrix of the individual items also exhibited only few correlations >0.30. The retest reliability also proves to be satisfactory for the majority of the items. The narrow distribution of some of the items must be critically discussed in comparison to analyses of results in other countries (e.g. Great Britain) and other settings (e.g. inpatient psychiatric hospitals or outpatient psychotherapy). Copyright  2007 S. Karger AG."
Andreassen_2016_T.TPMiAP,a longitudinal study of the relationship between the five-factor model of personality and workaholism,"Andreassen, C.S. and Bjorvatn, B. and Moen, B.E. and Waage, S. and Magery, N. and Pallesen, S.","TPM - Testing, Psychometrics, Methodology in Applied Psychology",NA,23,NA,285-298,2016,NA,10.4473/TPM23.3.2,"The present study comprised 1267 nurses who took part in the 2012, 2013, and 2014 waves of the longitudinal study ""Survey of Shiftwork, Sleep and Health."" Besides answering questions about work schedules in all waves, the nurses completed the Bergen Work Addiction Scale (BWAS), assessing workaholism, both in the 2012 and the 2014 waves. In the 2012 wave, personality was measured by the Mini-International Personality Item Pool (Mini-IPIP). Intraclass correlation analysis showed a high stability of workaholism across the 24-month follow-up period, although a small but significant increase over time was found. A hierarchical regression analysis was conducted in order to identify factors that could explain change in workaholism across the follow-up period. The results showed that Neuroticism was positively associated with an increase in workaholism. Starting to have at least one child in the household during the same period was negatively associated with an increase in workaholism. Those categorized as stable non-workaholics had lower scores on Neuroticism compared to all other nurses. Stable workaholics had higher scores on Intellect/Imagination than stable non-workaholics.  2016 Cises Green Open Access under CC BY-NC-ND 4.0 International License."
